=== Global Evaluation (Threshold 0~200) ===
 Diff | Precision |    Recall |        F1 |   Removed
-------------------------------------------------------
    0 |   0.00892 |   0.78261 |   0.01763 |         0
    1 |   0.00926 |   0.78261 |   0.01831 |       279
    2 |   0.00933 |   0.78261 |   0.01843 |       312
    3 |   0.00933 |   0.78261 |   0.01843 |       312
    4 |   0.00937 |   0.78261 |   0.01853 |       345
    5 |   0.00944 |   0.78261 |   0.01866 |       386
    6 |   0.00944 |   0.78261 |   0.01866 |       386
    7 |   0.00950 |   0.78261 |   0.01877 |       420
    8 |   0.00954 |   0.78261 |   0.01886 |       449
    9 |   0.00955 |   0.78261 |   0.01888 |       452
   10 |   0.00959 |   0.78261 |   0.01896 |       488
   11 |   0.00965 |   0.78261 |   0.01907 |       513
   12 |   0.00965 |   0.78261 |   0.01907 |       513
   13 |   0.00971 |   0.78261 |   0.01919 |       558
   14 |   0.00971 |   0.78261 |   0.01919 |       558
   15 |   0.00977 |   0.78261 |   0.01929 |       588
   16 |   0.00985 |   0.78261 |   0.01946 |       622
   17 |   0.00986 |   0.78261 |   0.01947 |       626
   18 |   0.00991 |   0.78261 |   0.01957 |       654
   19 |   0.00996 |   0.78261 |   0.01966 |       681
   20 |   0.00996 |   0.78261 |   0.01966 |       681
   21 |   0.01003 |   0.78261 |   0.01981 |       730
   22 |   0.01007 |   0.78261 |   0.01988 |       758
   23 |   0.01008 |   0.78261 |   0.01990 |       765
   24 |   0.01012 |   0.78261 |   0.01998 |       789
   25 |   0.01012 |   0.78261 |   0.01999 |       794
   26 |   0.01018 |   0.78261 |   0.02009 |       815
   27 |   0.01023 |   0.78261 |   0.02020 |       843
   28 |   0.01023 |   0.78261 |   0.02020 |       843
   29 |   0.01029 |   0.78261 |   0.02030 |       874
   30 |   0.01037 |   0.78261 |   0.02047 |       902
   31 |   0.01040 |   0.78261 |   0.02052 |       912
   32 |   0.01044 |   0.78261 |   0.02061 |       944
   33 |   0.01048 |   0.78261 |   0.02068 |       962
   34 |   0.01048 |   0.78261 |   0.02068 |       962
   35 |   0.01052 |   0.78261 |   0.02076 |       982
   36 |   0.01056 |   0.78261 |   0.02085 |      1006
   37 |   0.01068 |   0.78261 |   0.02108 |      1080
   38 |   0.01076 |   0.78261 |   0.02123 |      1119
