=== AbbadonRAT ===
 Diff | Precision |  Recall |      F1
------------------------------------
    0 |   0.02740 | 0.85714 | 0.05310
    1 |   0.02740 | 0.85714 | 0.05310
    2 |   0.02740 | 0.85714 | 0.05310
    3 |   0.02740 | 0.85714 | 0.05310
    4 |   0.02740 | 0.85714 | 0.05310
    5 |   0.02740 | 0.85714 | 0.05310
    6 |   0.02740 | 0.85714 | 0.05310
    7 |   0.02740 | 0.85714 | 0.05310
    8 |   0.02740 | 0.85714 | 0.05310
    9 |   0.02740 | 0.85714 | 0.05310
   10 |   0.02740 | 0.85714 | 0.05310
   11 |   0.02740 | 0.85714 | 0.05310
   12 |   0.02740 | 0.85714 | 0.05310
   13 |   0.02740 | 0.85714 | 0.05310
   14 |   0.02740 | 0.85714 | 0.05310
   15 |   0.02740 | 0.85714 | 0.05310
   16 |   0.02740 | 0.85714 | 0.05310
   17 |   0.02740 | 0.85714 | 0.05310
   18 |   0.02752 | 0.85714 | 0.05333
   19 |   0.02752 | 0.85714 | 0.05333
   20 |   0.02752 | 0.85714 | 0.05333
   21 |   0.02752 | 0.85714 | 0.05333
   22 |   0.02765 | 0.85714 | 0.05357
   23 |   0.02765 | 0.85714 | 0.05357
   24 |   0.02778 | 0.85714 | 0.05381
   25 |   0.02778 | 0.85714 | 0.05381
   26 |   0.02778 | 0.85714 | 0.05381
   27 |   0.02778 | 0.85714 | 0.05381
   28 |   0.02778 | 0.85714 | 0.05381
   29 |   0.02778 | 0.85714 | 0.05381
   30 |   0.02778 | 0.85714 | 0.05381
   31 |   0.02791 | 0.85714 | 0.05405
   32 |   0.02804 | 0.85714 | 0.05430
   33 |   0.02817 | 0.85714 | 0.05455
   34 |   0.02830 | 0.85714 | 0.05479
   35 |   0.02381 | 0.71429 | 0.04608
   36 |   0.02427 | 0.71429 | 0.04695
   37 |   0.02475 | 0.71429 | 0.04785
   38 |   0.02041 | 0.57143 | 0.03941
   39 |   0.02073 | 0.57143 | 0.04000
   40 |   0.01630 | 0.42857 | 0.03141
   41 |   0.01695 | 0.42857 | 0.03261
   42 |   0.01734 | 0.42857 | 0.03333
   43 |   0.01220 | 0.28571 | 0.02339
   44 |   0.01274 | 0.28571 | 0.02439
   45 |   0.01307 | 0.28571 | 0.02500
   46 |   0.01361 | 0.28571 | 0.02597
   47 |   0.01439 | 0.28571 | 0.02740
   48 |   0.01481 | 0.28571 | 0.02817
   49 |   0.00769 | 0.14286 | 0.01460
   50 |   0.00813 | 0.14286 | 0.01538
   51 |   0.00877 | 0.14286 | 0.01653
   52 |   0.00917 | 0.14286 | 0.01724
   53 |   0.00962 | 0.14286 | 0.01802
   54 |   0.01042 | 0.14286 | 0.01942
   55 |   0.01111 | 0.14286 | 0.02062
   56 |   0.01149 | 0.14286 | 0.02128
   57 |   0.01299 | 0.14286 | 0.02381
   58 |   0.01429 | 0.14286 | 0.02597
   59 |   0.01587 | 0.14286 | 0.02857
   60 |   0.01695 | 0.14286 | 0.03030
   61 |   0.01754 | 0.14286 | 0.03125
   62 |   0.01852 | 0.14286 | 0.03279
   63 |   0.02083 | 0.14286 | 0.03636
   64 |   0.02381 | 0.14286 | 0.04082
   65 |   0.02703 | 0.14286 | 0.04545
   66 |   0.00000 | 0.00000 | 0.00000
   67 |   0.00000 | 0.00000 | 0.00000
   68 |   0.00000 | 0.00000 | 0.00000
   69 |   0.00000 | 0.00000 | 0.00000
   70 |   0.00000 | 0.00000 | 0.00000
   71 |   0.00000 | 0.00000 | 0.00000
   72 |   0.00000 | 0.00000 | 0.00000
   73 |   0.00000 | 0.00000 | 0.00000
   74 |   0.00000 | 0.00000 | 0.00000
   75 |   0.00000 | 0.00000 | 0.00000
   76 |   0.00000 | 0.00000 | 0.00000
   77 |   0.00000 | 0.00000 | 0.00000
   78 |   0.00000 | 0.00000 | 0.00000
   79 |   0.00000 | 0.00000 | 0.00000
   80 |   0.00000 | 0.00000 | 0.00000
   81 |   0.00000 | 0.00000 | 0.00000
   82 |   0.00000 | 0.00000 | 0.00000
   83 |   0.00000 | 0.00000 | 0.00000
   84 |   0.00000 | 0.00000 | 0.00000
   85 |   0.00000 | 0.00000 | 0.00000
   86 |   0.00000 | 0.00000 | 0.00000
   87 |   0.00000 | 0.00000 | 0.00000
   88 |   0.00000 | 0.00000 | 0.00000
   89 |   0.00000 | 0.00000 | 0.00000
   90 |   0.00000 | 0.00000 | 0.00000
   91 |   0.00000 | 0.00000 | 0.00000
   92 |   0.00000 | 0.00000 | 0.00000
   93 |   0.00000 | 0.00000 | 0.00000
   94 |   0.00000 | 0.00000 | 0.00000
   95 |   0.00000 | 0.00000 | 0.00000
   96 |   0.00000 | 0.00000 | 0.00000
   97 |   0.00000 | 0.00000 | 0.00000
   98 |   0.00000 | 0.00000 | 0.00000
   99 |   0.00000 | 0.00000 | 0.00000
  100 |   0.00000 | 0.00000 | 0.00000
  101 |   0.00000 | 0.00000 | 0.00000
  102 |   0.00000 | 0.00000 | 0.00000
  103 |   0.00000 | 0.00000 | 0.00000
  104 |   0.00000 | 0.00000 | 0.00000
  105 |   0.00000 | 0.00000 | 0.00000
  106 |   0.00000 | 0.00000 | 0.00000
  107 |   0.00000 | 0.00000 | 0.00000
  108 |   0.00000 | 0.00000 | 0.00000
  109 |   0.00000 | 0.00000 | 0.00000
  110 |   0.00000 | 0.00000 | 0.00000
  111 |   0.00000 | 0.00000 | 0.00000
  112 |   0.00000 | 0.00000 | 0.00000
  113 |   0.00000 | 0.00000 | 0.00000
  114 |   0.00000 | 0.00000 | 0.00000
  115 |   0.00000 | 0.00000 | 0.00000
  116 |   0.00000 | 0.00000 | 0.00000
  117 |   0.00000 | 0.00000 | 0.00000
  118 |   0.00000 | 0.00000 | 0.00000
  119 |   0.00000 | 0.00000 | 0.00000
  120 |   0.00000 | 0.00000 | 0.00000
  121 |   0.00000 | 0.00000 | 0.00000
  122 |   0.00000 | 0.00000 | 0.00000
  123 |   0.00000 | 0.00000 | 0.00000
  124 |   0.00000 | 0.00000 | 0.00000
  125 |   0.00000 | 0.00000 | 0.00000
  126 |   0.00000 | 0.00000 | 0.00000
  127 |   0.00000 | 0.00000 | 0.00000
  128 |   0.00000 | 0.00000 | 0.00000
  129 |   0.00000 | 0.00000 | 0.00000
  130 |   0.00000 | 0.00000 | 0.00000
  131 |   0.00000 | 0.00000 | 0.00000
  132 |   0.00000 | 0.00000 | 0.00000
  133 |   0.00000 | 0.00000 | 0.00000
  134 |   0.00000 | 0.00000 | 0.00000
  135 |   0.00000 | 0.00000 | 0.00000
  136 |   0.00000 | 0.00000 | 0.00000
  137 |   0.00000 | 0.00000 | 0.00000
  138 |   0.00000 | 0.00000 | 0.00000
  139 |   0.00000 | 0.00000 | 0.00000
  140 |   0.00000 | 0.00000 | 0.00000
  141 |   0.00000 | 0.00000 | 0.00000
  142 |   0.00000 | 0.00000 | 0.00000
  143 |   0.00000 | 0.00000 | 0.00000
  144 |   0.00000 | 0.00000 | 0.00000
  145 |   0.00000 | 0.00000 | 0.00000
  146 |   0.00000 | 0.00000 | 0.00000
  147 |   0.00000 | 0.00000 | 0.00000
  148 |   0.00000 | 0.00000 | 0.00000
  149 |   0.00000 | 0.00000 | 0.00000
  150 |   0.00000 | 0.00000 | 0.00000
  151 |   0.00000 | 0.00000 | 0.00000
  152 |   0.00000 | 0.00000 | 0.00000
  153 |   0.00000 | 0.00000 | 0.00000
  154 |   0.00000 | 0.00000 | 0.00000
  155 |   0.00000 | 0.00000 | 0.00000
  156 |   0.00000 | 0.00000 | 0.00000
  157 |   0.00000 | 0.00000 | 0.00000
  158 |   0.00000 | 0.00000 | 0.00000
  159 |   0.00000 | 0.00000 | 0.00000
  160 |   0.00000 | 0.00000 | 0.00000
  161 |   0.00000 | 0.00000 | 0.00000
  162 |   0.00000 | 0.00000 | 0.00000
  163 |   0.00000 | 0.00000 | 0.00000
  164 |   0.00000 | 0.00000 | 0.00000
  165 |   0.00000 | 0.00000 | 0.00000
  166 |   0.00000 | 0.00000 | 0.00000
  167 |   0.00000 | 0.00000 | 0.00000
  168 |   0.00000 | 0.00000 | 0.00000
  169 |   0.00000 | 0.00000 | 0.00000
  170 |   0.00000 | 0.00000 | 0.00000
  171 |   0.00000 | 0.00000 | 0.00000
  172 |   0.00000 | 0.00000 | 0.00000
  173 |   0.00000 | 0.00000 | 0.00000
  174 |   0.00000 | 0.00000 | 0.00000
  175 |   0.00000 | 0.00000 | 0.00000
  176 |   0.00000 | 0.00000 | 0.00000
  177 |   0.00000 | 0.00000 | 0.00000
  178 |   0.00000 | 0.00000 | 0.00000
  179 |   0.00000 | 0.00000 | 0.00000
  180 |   0.00000 | 0.00000 | 0.00000
  181 |   0.00000 | 0.00000 | 0.00000
  182 |   0.00000 | 0.00000 | 0.00000
  183 |   0.00000 | 0.00000 | 0.00000
  184 |   0.00000 | 0.00000 | 0.00000
  185 |   0.00000 | 0.00000 | 0.00000
  186 |   0.00000 | 0.00000 | 0.00000
  187 |   0.00000 | 0.00000 | 0.00000
  188 |   0.00000 | 0.00000 | 0.00000
  189 |   0.00000 | 0.00000 | 0.00000
  190 |   0.00000 | 0.00000 | 0.00000
  191 |   0.00000 | 0.00000 | 0.00000
  192 |   0.00000 | 0.00000 | 0.00000
  193 |   0.00000 | 0.00000 | 0.00000
  194 |   0.00000 | 0.00000 | 0.00000
  195 |   0.00000 | 0.00000 | 0.00000
  196 |   0.00000 | 0.00000 | 0.00000
  197 |   0.00000 | 0.00000 | 0.00000
  198 |   0.00000 | 0.00000 | 0.00000
  199 |   0.00000 | 0.00000 | 0.00000
