=== Baduk ===
 Diff | Precision |  Recall |      F1
------------------------------------
    0 |   0.28571 | 0.80000 | 0.42105
    1 |   0.28571 | 0.80000 | 0.42105
    2 |   0.28571 | 0.80000 | 0.42105
    3 |   0.28571 | 0.80000 | 0.42105
    4 |   0.28571 | 0.80000 | 0.42105
    5 |   0.28571 | 0.80000 | 0.42105
    6 |   0.28571 | 0.80000 | 0.42105
    7 |   0.28571 | 0.80000 | 0.42105
    8 |   0.28571 | 0.80000 | 0.42105
    9 |   0.28571 | 0.80000 | 0.42105
   10 |   0.28571 | 0.80000 | 0.42105
   11 |   0.28571 | 0.80000 | 0.42105
   12 |   0.28571 | 0.80000 | 0.42105
   13 |   0.28571 | 0.80000 | 0.42105
   14 |   0.28571 | 0.80000 | 0.42105
   15 |   0.28571 | 0.80000 | 0.42105
   16 |   0.28571 | 0.80000 | 0.42105
   17 |   0.28571 | 0.80000 | 0.42105
   18 |   0.28571 | 0.80000 | 0.42105
   19 |   0.28571 | 0.80000 | 0.42105
   20 |   0.28571 | 0.80000 | 0.42105
   21 |   0.28571 | 0.80000 | 0.42105
   22 |   0.28571 | 0.80000 | 0.42105
   23 |   0.28571 | 0.80000 | 0.42105
   24 |   0.28571 | 0.80000 | 0.42105
   25 |   0.28571 | 0.80000 | 0.42105
   26 |   0.28571 | 0.80000 | 0.42105
   27 |   0.28571 | 0.80000 | 0.42105
   28 |   0.28571 | 0.80000 | 0.42105
   29 |   0.30769 | 0.80000 | 0.44444
   30 |   0.30769 | 0.80000 | 0.44444
   31 |   0.30769 | 0.80000 | 0.44444
   32 |   0.30769 | 0.80000 | 0.44444
   33 |   0.30769 | 0.80000 | 0.44444
   34 |   0.30769 | 0.80000 | 0.44444
   35 |   0.30769 | 0.80000 | 0.44444
   36 |   0.30769 | 0.80000 | 0.44444
   37 |   0.30769 | 0.80000 | 0.44444
   38 |   0.30769 | 0.80000 | 0.44444
   39 |   0.30769 | 0.80000 | 0.44444
   40 |   0.30769 | 0.80000 | 0.44444
   41 |   0.30769 | 0.80000 | 0.44444
