=== IISerpent ===
 Diff | Precision |  Recall |      F1
------------------------------------
    0 |   0.00131 | 1.00000 | 0.00262
    1 |   0.00140 | 1.00000 | 0.00279
    2 |   0.00140 | 1.00000 | 0.00279
    3 |   0.00140 | 1.00000 | 0.00279
    4 |   0.00140 | 1.00000 | 0.00280
    5 |   0.00141 | 1.00000 | 0.00282
    6 |   0.00141 | 1.00000 | 0.00282
    7 |   0.00141 | 1.00000 | 0.00282
    8 |   0.00141 | 1.00000 | 0.00282
    9 |   0.00142 | 1.00000 | 0.00283
   10 |   0.00142 | 1.00000 | 0.00284
   11 |   0.00143 | 1.00000 | 0.00285
   12 |   0.00143 | 1.00000 | 0.00287
   13 |   0.00144 | 1.00000 | 0.00287
   14 |   0.00145 | 1.00000 | 0.00289
   15 |   0.00145 | 1.00000 | 0.00290
   16 |   0.00146 | 1.00000 | 0.00292
   17 |   0.00147 | 1.00000 | 0.00293
   18 |   0.00147 | 1.00000 | 0.00295
   19 |   0.00148 | 1.00000 | 0.00295
   20 |   0.00150 | 1.00000 | 0.00299
   21 |   0.00150 | 1.00000 | 0.00300
   22 |   0.00152 | 1.00000 | 0.00303
   23 |   0.00152 | 1.00000 | 0.00304
   24 |   0.00153 | 1.00000 | 0.00305
   25 |   0.00154 | 1.00000 | 0.00307
   26 |   0.00156 | 1.00000 | 0.00312
   27 |   0.00157 | 1.00000 | 0.00314
   28 |   0.00158 | 1.00000 | 0.00316
   29 |   0.00160 | 1.00000 | 0.00319
   30 |   0.00162 | 1.00000 | 0.00323
   31 |   0.00163 | 1.00000 | 0.00325
   32 |   0.00164 | 1.00000 | 0.00328
   33 |   0.00165 | 1.00000 | 0.00330
   34 |   0.00168 | 1.00000 | 0.00334
   35 |   0.00172 | 1.00000 | 0.00344
   36 |   0.00176 | 1.00000 | 0.00352
   37 |   0.00181 | 1.00000 | 0.00362
   38 |   0.00187 | 1.00000 | 0.00372
   39 |   0.00193 | 1.00000 | 0.00385
   40 |   0.00200 | 1.00000 | 0.00399
   41 |   0.00212 | 1.00000 | 0.00423
   42 |   0.00222 | 1.00000 | 0.00442
   43 |   0.00243 | 1.00000 | 0.00485
   44 |   0.00256 | 1.00000 | 0.00512
   45 |   0.00271 | 1.00000 | 0.00541
   46 |   0.00297 | 1.00000 | 0.00592
   47 |   0.00318 | 1.00000 | 0.00635
   48 |   0.00345 | 1.00000 | 0.00687
   49 |   0.00377 | 1.00000 | 0.00752
   50 |   0.00398 | 1.00000 | 0.00794
   51 |   0.00435 | 1.00000 | 0.00866
   52 |   0.00461 | 1.00000 | 0.00917
   53 |   0.00483 | 1.00000 | 0.00962
   54 |   0.00518 | 1.00000 | 0.01031
   55 |   0.00532 | 1.00000 | 0.01058
   56 |   0.00556 | 1.00000 | 0.01105
   57 |   0.00568 | 1.00000 | 0.01130
   58 |   0.00575 | 1.00000 | 0.01143
   59 |   0.00000 | 0.00000 | 0.00000
   60 |   0.00000 | 0.00000 | 0.00000
   61 |   0.00000 | 0.00000 | 0.00000
   62 |   0.00000 | 0.00000 | 0.00000
   63 |   0.00000 | 0.00000 | 0.00000
   64 |   0.00000 | 0.00000 | 0.00000
   65 |   0.00000 | 0.00000 | 0.00000
   66 |   0.00000 | 0.00000 | 0.00000
   67 |   0.00000 | 0.00000 | 0.00000
   68 |   0.00000 | 0.00000 | 0.00000
   69 |   0.00000 | 0.00000 | 0.00000
   70 |   0.00000 | 0.00000 | 0.00000
   71 |   0.00000 | 0.00000 | 0.00000
   72 |   0.00000 | 0.00000 | 0.00000
   73 |   0.00000 | 0.00000 | 0.00000
   74 |   0.00000 | 0.00000 | 0.00000
   75 |   0.00000 | 0.00000 | 0.00000
   76 |   0.00000 | 0.00000 | 0.00000
   77 |   0.00000 | 0.00000 | 0.00000
   78 |   0.00000 | 0.00000 | 0.00000
   79 |   0.00000 | 0.00000 | 0.00000
   80 |   0.00000 | 0.00000 | 0.00000
   81 |   0.00000 | 0.00000 | 0.00000
   82 |   0.00000 | 0.00000 | 0.00000
   83 |   0.00000 | 0.00000 | 0.00000
   84 |   0.00000 | 0.00000 | 0.00000
   85 |   0.00000 | 0.00000 | 0.00000
   86 |   0.00000 | 0.00000 | 0.00000
