=== RaccoonStealer ===
 Diff | Precision |  Recall |      F1
------------------------------------
    0 |   0.08621 | 0.83333 | 0.15625
    1 |   0.08621 | 0.83333 | 0.15625
    2 |   0.08621 | 0.83333 | 0.15625
    3 |   0.08621 | 0.83333 | 0.15625
    4 |   0.08621 | 0.83333 | 0.15625
    5 |   0.08621 | 0.83333 | 0.15625
    6 |   0.08621 | 0.83333 | 0.15625
    7 |   0.08621 | 0.83333 | 0.15625
    8 |   0.08621 | 0.83333 | 0.15625
    9 |   0.08621 | 0.83333 | 0.15625
   10 |   0.08621 | 0.83333 | 0.15625
   11 |   0.08621 | 0.83333 | 0.15625
   12 |   0.08621 | 0.83333 | 0.15625
   13 |   0.08621 | 0.83333 | 0.15625
   14 |   0.08621 | 0.83333 | 0.15625
   15 |   0.08621 | 0.83333 | 0.15625
   16 |   0.08621 | 0.83333 | 0.15625
   17 |   0.08621 | 0.83333 | 0.15625
   18 |   0.08621 | 0.83333 | 0.15625
   19 |   0.08621 | 0.83333 | 0.15625
   20 |   0.08621 | 0.83333 | 0.15625
   21 |   0.08621 | 0.83333 | 0.15625
   22 |   0.08621 | 0.83333 | 0.15625
   23 |   0.08621 | 0.83333 | 0.15625
   24 |   0.08621 | 0.83333 | 0.15625
   25 |   0.08621 | 0.83333 | 0.15625
   26 |   0.08621 | 0.83333 | 0.15625
   27 |   0.08621 | 0.83333 | 0.15625
   28 |   0.08621 | 0.83333 | 0.15625
   29 |   0.08621 | 0.83333 | 0.15625
   30 |   0.08621 | 0.83333 | 0.15625
   31 |   0.08621 | 0.83333 | 0.15625
   32 |   0.08621 | 0.83333 | 0.15625
   33 |   0.08621 | 0.83333 | 0.15625
   34 |   0.08621 | 0.83333 | 0.15625
   35 |   0.08621 | 0.83333 | 0.15625
   36 |   0.08621 | 0.83333 | 0.15625
   37 |   0.08621 | 0.83333 | 0.15625
   38 |   0.08621 | 0.83333 | 0.15625
   39 |   0.08621 | 0.83333 | 0.15625
   40 |   0.08621 | 0.83333 | 0.15625
   41 |   0.08621 | 0.83333 | 0.15625
   42 |   0.08621 | 0.83333 | 0.15625
   43 |   0.08621 | 0.83333 | 0.15625
   44 |   0.08621 | 0.83333 | 0.15625
   45 |   0.08621 | 0.83333 | 0.15625
   46 |   0.08621 | 0.83333 | 0.15625
   47 |   0.08621 | 0.83333 | 0.15625
   48 |   0.08621 | 0.83333 | 0.15625
   49 |   0.08621 | 0.83333 | 0.15625
   50 |   0.08621 | 0.83333 | 0.15625
   51 |   0.08621 | 0.83333 | 0.15625
   52 |   0.08621 | 0.83333 | 0.15625
   53 |   0.08621 | 0.83333 | 0.15625
   54 |   0.08621 | 0.83333 | 0.15625
   55 |   0.08621 | 0.83333 | 0.15625
   56 |   0.08621 | 0.83333 | 0.15625
   57 |   0.08621 | 0.83333 | 0.15625
   58 |   0.08621 | 0.83333 | 0.15625
   59 |   0.08621 | 0.83333 | 0.15625
   60 |   0.08621 | 0.83333 | 0.15625
   61 |   0.08621 | 0.83333 | 0.15625
   62 |   0.08621 | 0.83333 | 0.15625
   63 |   0.08772 | 0.83333 | 0.15873
   64 |   0.08772 | 0.83333 | 0.15873
   65 |   0.08772 | 0.83333 | 0.15873
   66 |   0.08772 | 0.83333 | 0.15873
   67 |   0.07273 | 0.66667 | 0.13115
   68 |   0.07273 | 0.66667 | 0.13115
   69 |   0.07273 | 0.66667 | 0.13115
   70 |   0.07547 | 0.66667 | 0.13559
   71 |   0.07547 | 0.66667 | 0.13559
   72 |   0.07547 | 0.66667 | 0.13559
   73 |   0.07843 | 0.66667 | 0.14035
   74 |   0.08333 | 0.66667 | 0.14815
   75 |   0.06383 | 0.50000 | 0.11321
   76 |   0.06667 | 0.50000 | 0.11765
   77 |   0.06667 | 0.50000 | 0.11765
   78 |   0.06667 | 0.50000 | 0.11765
   79 |   0.06977 | 0.50000 | 0.12245
   80 |   0.07500 | 0.50000 | 0.13043
   81 |   0.07500 | 0.50000 | 0.13043
   82 |   0.07500 | 0.50000 | 0.13043
   83 |   0.07895 | 0.50000 | 0.13636
   84 |   0.08108 | 0.50000 | 0.13953
   85 |   0.08824 | 0.50000 | 0.15000
   86 |   0.09677 | 0.50000 | 0.16216
   87 |   0.10000 | 0.50000 | 0.16667
   88 |   0.10000 | 0.50000 | 0.16667
   89 |   0.10714 | 0.50000 | 0.17647
   90 |   0.11538 | 0.50000 | 0.18750
   91 |   0.13043 | 0.50000 | 0.20690
   92 |   0.13636 | 0.50000 | 0.21429
   93 |   0.14286 | 0.50000 | 0.22222
   94 |   0.15789 | 0.50000 | 0.24000
   95 |   0.15789 | 0.50000 | 0.24000
   96 |   0.18750 | 0.50000 | 0.27273
   97 |   0.23077 | 0.50000 | 0.31579
   98 |   0.23077 | 0.50000 | 0.31579
   99 |   0.25000 | 0.50000 | 0.33333
  100 |   0.27273 | 0.50000 | 0.35294
  101 |   0.27273 | 0.50000 | 0.35294
  102 |   0.27273 | 0.50000 | 0.35294
  103 |   0.30000 | 0.50000 | 0.37500
  104 |   0.33333 | 0.50000 | 0.40000
  105 |   0.28571 | 0.33333 | 0.30769
  106 |   0.28571 | 0.33333 | 0.30769
  107 |   0.28571 | 0.33333 | 0.30769
  108 |   0.16667 | 0.16667 | 0.16667
  109 |   0.20000 | 0.16667 | 0.18182
  110 |   0.20000 | 0.16667 | 0.18182
  111 |   0.20000 | 0.16667 | 0.18182
  112 |   0.20000 | 0.16667 | 0.18182
  113 |   0.20000 | 0.16667 | 0.18182
  114 |   0.20000 | 0.16667 | 0.18182
  115 |   0.20000 | 0.16667 | 0.18182
  116 |   0.33333 | 0.16667 | 0.22222
  117 |   0.33333 | 0.16667 | 0.22222
  118 |   0.33333 | 0.16667 | 0.22222
  119 |   0.33333 | 0.16667 | 0.22222
  120 |   0.33333 | 0.16667 | 0.22222
  121 |   0.33333 | 0.16667 | 0.22222
  122 |   0.33333 | 0.16667 | 0.22222
  123 |   0.33333 | 0.16667 | 0.22222
  124 |   0.33333 | 0.16667 | 0.22222
  125 |   0.33333 | 0.16667 | 0.22222
  126 |   0.33333 | 0.16667 | 0.22222
  127 |   0.50000 | 0.16667 | 0.25000
  128 |   0.50000 | 0.16667 | 0.25000
  129 |   0.50000 | 0.16667 | 0.25000
  130 |   0.50000 | 0.16667 | 0.25000
  131 |   0.50000 | 0.16667 | 0.25000
  132 |   0.50000 | 0.16667 | 0.25000
  133 |   0.50000 | 0.16667 | 0.25000
  134 |   0.50000 | 0.16667 | 0.25000
  135 |   0.50000 | 0.16667 | 0.25000
  136 |   0.50000 | 0.16667 | 0.25000
  137 |   0.50000 | 0.16667 | 0.25000
  138 |   0.50000 | 0.16667 | 0.25000
  139 |   1.00000 | 0.16667 | 0.28571
  140 |   1.00000 | 0.16667 | 0.28571
  141 |   1.00000 | 0.16667 | 0.28571
  142 |   1.00000 | 0.16667 | 0.28571
  143 |   1.00000 | 0.16667 | 0.28571
  144 |   1.00000 | 0.16667 | 0.28571
  145 |   1.00000 | 0.16667 | 0.28571
  146 |   1.00000 | 0.16667 | 0.28571
  147 |   1.00000 | 0.16667 | 0.28571
  148 |   1.00000 | 0.16667 | 0.28571
  149 |   1.00000 | 0.16667 | 0.28571
  150 |   1.00000 | 0.16667 | 0.28571
  151 |   1.00000 | 0.16667 | 0.28571
  152 |   1.00000 | 0.16667 | 0.28571
  153 |   1.00000 | 0.16667 | 0.28571
  154 |   1.00000 | 0.16667 | 0.28571
  155 |   1.00000 | 0.16667 | 0.28571
  156 |   0.00000 | 0.00000 | 0.00000
  157 |   0.00000 | 0.00000 | 0.00000
  158 |   0.00000 | 0.00000 | 0.00000
  159 |   0.00000 | 0.00000 | 0.00000
  160 |   0.00000 | 0.00000 | 0.00000
  161 |   0.00000 | 0.00000 | 0.00000
  162 |   0.00000 | 0.00000 | 0.00000
  163 |   0.00000 | 0.00000 | 0.00000
  164 |   0.00000 | 0.00000 | 0.00000
  165 |   0.00000 | 0.00000 | 0.00000
  166 |   0.00000 | 0.00000 | 0.00000
  167 |   0.00000 | 0.00000 | 0.00000
  168 |   0.00000 | 0.00000 | 0.00000
  169 |   0.00000 | 0.00000 | 0.00000
  170 |   0.00000 | 0.00000 | 0.00000
  171 |   0.00000 | 0.00000 | 0.00000
  172 |   0.00000 | 0.00000 | 0.00000
  173 |   0.00000 | 0.00000 | 0.00000
  174 |   0.00000 | 0.00000 | 0.00000
  175 |   0.00000 | 0.00000 | 0.00000
  176 |   0.00000 | 0.00000 | 0.00000
  177 |   0.00000 | 0.00000 | 0.00000
  178 |   0.00000 | 0.00000 | 0.00000
  179 |   0.00000 | 0.00000 | 0.00000
  180 |   0.00000 | 0.00000 | 0.00000
  181 |   0.00000 | 0.00000 | 0.00000
  182 |   0.00000 | 0.00000 | 0.00000
