=== Global Evaluation (Threshold 0~200) ===
 Diff | Precision |    Recall |        F1 |   Removed
-------------------------------------------------------
    0 |   0.00892 |   0.78261 |   0.01763 |         0
    1 |   0.00921 |   0.78261 |   0.01821 |       259
    2 |   0.00921 |   0.78261 |   0.01821 |       262
    3 |   0.00922 |   0.78261 |   0.01822 |       265
    4 |   0.00922 |   0.78261 |   0.01823 |       269
    5 |   0.00924 |   0.78261 |   0.01827 |       279
    6 |   0.00926 |   0.78261 |   0.01830 |       283
    7 |   0.00926 |   0.78261 |   0.01831 |       293
    8 |   0.00928 |   0.78261 |   0.01834 |       302
    9 |   0.00930 |   0.78261 |   0.01838 |       313
   10 |   0.00931 |   0.78261 |   0.01840 |       322
   11 |   0.00933 |   0.78261 |   0.01843 |       333
   12 |   0.00934 |   0.78261 |   0.01846 |       342
   13 |   0.00937 |   0.78261 |   0.01851 |       360
   14 |   0.00940 |   0.78261 |   0.01859 |       379
   15 |   0.00942 |   0.78261 |   0.01862 |       393
   16 |   0.00946 |   0.78261 |   0.01869 |       413
   17 |   0.00948 |   0.78261 |   0.01874 |       425
   18 |   0.00952 |   0.78261 |   0.01881 |       438
   19 |   0.00954 |   0.78261 |   0.01886 |       453
   20 |   0.00960 |   0.78261 |   0.01897 |       474
   21 |   0.00966 |   0.78261 |   0.01908 |       497
   22 |   0.00969 |   0.78261 |   0.01915 |       510
   23 |   0.00974 |   0.78261 |   0.01924 |       523
   24 |   0.00978 |   0.78261 |   0.01931 |       537
   25 |   0.00983 |   0.78261 |   0.01942 |       563
   26 |   0.00992 |   0.78261 |   0.01960 |       593
   27 |   0.01004 |   0.78261 |   0.01982 |       622
   28 |   0.01012 |   0.78261 |   0.01998 |       650
   29 |   0.01019 |   0.78261 |   0.02011 |       679
   30 |   0.01026 |   0.78261 |   0.02025 |       699
   31 |   0.01032 |   0.78261 |   0.02036 |       720
   32 |   0.01040 |   0.78261 |   0.02054 |       741
   33 |   0.01048 |   0.78261 |   0.02068 |       762
   34 |   0.01058 |   0.78261 |   0.02088 |       784
   35 |   0.01016 |   0.73913 |   0.02004 |       823
   36 |   0.01033 |   0.73913 |   0.02038 |       860
   37 |   0.01057 |   0.73913 |   0.02085 |       908
   38 |   0.01018 |   0.69565 |   0.02006 |       954
