=== Global Evaluation (Threshold 0~200) ===
 Diff | Precision |    Recall |        F1 |   Removed
-------------------------------------------------------
    0 |   0.00892 |   0.78261 |   0.01763 |         0
    1 |   0.00930 |   0.78261 |   0.01839 |       316
    2 |   0.00938 |   0.78261 |   0.01855 |       361
    3 |   0.00938 |   0.78261 |   0.01855 |       362
    4 |   0.00951 |   0.78261 |   0.01880 |       424
    5 |   0.00961 |   0.78261 |   0.01898 |       478
    6 |   0.00961 |   0.78261 |   0.01898 |       478
    7 |   0.00967 |   0.78261 |   0.01910 |       524
    8 |   0.00971 |   0.78261 |   0.01919 |       556
    9 |   0.00973 |   0.78261 |   0.01922 |       561
   10 |   0.00980 |   0.78261 |   0.01937 |       608
   11 |   0.00990 |   0.78261 |   0.01954 |       647
   12 |   0.00990 |   0.78261 |   0.01954 |       647
   13 |   0.00999 |   0.78261 |   0.01973 |       695
   14 |   0.00999 |   0.78261 |   0.01973 |       695
   15 |   0.01007 |   0.78261 |   0.01988 |       728
   16 |   0.01014 |   0.78261 |   0.02002 |       760
   17 |   0.01014 |   0.78261 |   0.02002 |       764
   18 |   0.01021 |   0.78261 |   0.02016 |       798
   19 |   0.01030 |   0.78261 |   0.02033 |       840
   20 |   0.01030 |   0.78261 |   0.02033 |       840
   21 |   0.01038 |   0.78261 |   0.02049 |       894
   22 |   0.01047 |   0.78261 |   0.02067 |       927
   23 |   0.01049 |   0.78261 |   0.02070 |       935
   24 |   0.01053 |   0.78261 |   0.02077 |       962
   25 |   0.01056 |   0.78261 |   0.02083 |       971
   26 |   0.01066 |   0.78261 |   0.02104 |      1000
   27 |   0.01075 |   0.78261 |   0.02121 |      1033
   28 |   0.01075 |   0.78261 |   0.02121 |      1033
   29 |   0.01084 |   0.78261 |   0.02138 |      1070
   30 |   0.01090 |   0.78261 |   0.02151 |      1097
   31 |   0.01096 |   0.78261 |   0.02162 |      1112
   32 |   0.01102 |   0.78261 |   0.02173 |      1140
   33 |   0.01109 |   0.78261 |   0.02187 |      1169
   34 |   0.01109 |   0.78261 |   0.02187 |      1169
   35 |   0.01116 |   0.78261 |   0.02200 |      1201
   36 |   0.01119 |   0.78261 |   0.02207 |      1218
   37 |   0.01137 |   0.78261 |   0.02242 |      1312
