=== Global Evaluation (Threshold 0~200) ===
 Diff | Precision |    Recall |        F1 |   Removed
-------------------------------------------------------
    0 |   0.00892 |   0.78261 |   0.01763 |         0
    1 |   0.00924 |   0.78261 |   0.01826 |       291
    2 |   0.00924 |   0.78261 |   0.01826 |       292
    3 |   0.00926 |   0.78261 |   0.01830 |       300
    4 |   0.00926 |   0.78261 |   0.01831 |       307
    5 |   0.00929 |   0.78261 |   0.01836 |       323
    6 |   0.00934 |   0.78261 |   0.01846 |       342
    7 |   0.00936 |   0.78261 |   0.01850 |       354
    8 |   0.00938 |   0.78261 |   0.01855 |       376
    9 |   0.00942 |   0.78261 |   0.01862 |       396
   10 |   0.00946 |   0.78261 |   0.01869 |       414
   11 |   0.00953 |   0.78261 |   0.01884 |       442
   12 |   0.00956 |   0.78261 |   0.01890 |       466
   13 |   0.00964 |   0.78261 |   0.01905 |       496
   14 |   0.00967 |   0.78261 |   0.01911 |       518
   15 |   0.00974 |   0.78261 |   0.01924 |       548
   16 |   0.00984 |   0.78261 |   0.01944 |       584
   17 |   0.00996 |   0.78261 |   0.01967 |       626
   18 |   0.01005 |   0.78261 |   0.01985 |       654
   19 |   0.01015 |   0.78261 |   0.02004 |       696
   20 |   0.01023 |   0.78261 |   0.02020 |       730
   21 |   0.01035 |   0.78261 |   0.02043 |       761
   22 |   0.01043 |   0.78261 |   0.02058 |       793
   23 |   0.01058 |   0.78261 |   0.02087 |       836
   24 |   0.01077 |   0.78261 |   0.02125 |       884
   25 |   0.01101 |   0.78261 |   0.02171 |       935
   26 |   0.01136 |   0.78261 |   0.02239 |      1006
   27 |   0.01173 |   0.78261 |   0.02312 |      1073
   28 |   0.01220 |   0.78261 |   0.02403 |      1143
   29 |   0.01275 |   0.78261 |   0.02509 |      1214
   30 |   0.01340 |   0.78261 |   0.02635 |      1296
   31 |   0.01348 |   0.73913 |   0.02648 |      1397
   32 |   0.01326 |   0.69565 |   0.02602 |      1466
   33 |   0.01417 |   0.69565 |   0.02778 |      1555
   34 |   0.01501 |   0.69565 |   0.02938 |      1628
   35 |   0.01466 |   0.65217 |   0.02868 |      1687
   36 |   0.01524 |   0.65217 |   0.02979 |      1739
   37 |   0.01586 |   0.65217 |   0.03096 |      1790
