=== Emotet2 ===
 Diff | Precision |  Recall |      F1
------------------------------------
    0 |   0.00935 | 1.00000 | 0.01852
    1 |   0.00935 | 1.00000 | 0.01852
    2 |   0.00935 | 1.00000 | 0.01852
    3 |   0.00935 | 1.00000 | 0.01852
    4 |   0.00935 | 1.00000 | 0.01852
    5 |   0.00935 | 1.00000 | 0.01852
    6 |   0.00935 | 1.00000 | 0.01852
    7 |   0.00935 | 1.00000 | 0.01852
    8 |   0.00943 | 1.00000 | 0.01869
    9 |   0.00943 | 1.00000 | 0.01869
   10 |   0.00943 | 1.00000 | 0.01869
   11 |   0.00943 | 1.00000 | 0.01869
   12 |   0.00943 | 1.00000 | 0.01869
   13 |   0.00943 | 1.00000 | 0.01869
   14 |   0.00943 | 1.00000 | 0.01869
   15 |   0.00943 | 1.00000 | 0.01869
   16 |   0.00943 | 1.00000 | 0.01869
   17 |   0.00943 | 1.00000 | 0.01869
   18 |   0.00952 | 1.00000 | 0.01887
   19 |   0.00962 | 1.00000 | 0.01905
   20 |   0.00962 | 1.00000 | 0.01905
   21 |   0.00980 | 1.00000 | 0.01942
   22 |   0.00990 | 1.00000 | 0.01961
   23 |   0.00990 | 1.00000 | 0.01961
   24 |   0.01000 | 1.00000 | 0.01980
   25 |   0.01042 | 1.00000 | 0.02062
   26 |   0.01075 | 1.00000 | 0.02128
   27 |   0.01149 | 1.00000 | 0.02273
   28 |   0.01333 | 1.00000 | 0.02632
   29 |   0.01515 | 1.00000 | 0.02985
   30 |   0.01667 | 1.00000 | 0.03279
   31 |   0.02000 | 1.00000 | 0.03922
   32 |   0.02326 | 1.00000 | 0.04545
   33 |   0.02778 | 1.00000 | 0.05405
   34 |   0.03448 | 1.00000 | 0.06667
   35 |   0.03704 | 1.00000 | 0.07143
   36 |   0.03704 | 1.00000 | 0.07143
   37 |   0.04000 | 1.00000 | 0.07692
   38 |   0.04167 | 1.00000 | 0.08000
   39 |   0.04167 | 1.00000 | 0.08000
   40 |   0.04167 | 1.00000 | 0.08000
   41 |   0.04167 | 1.00000 | 0.08000
   42 |   0.04167 | 1.00000 | 0.08000
   43 |   0.04545 | 1.00000 | 0.08696
   44 |   0.04545 | 1.00000 | 0.08696
   45 |   0.04545 | 1.00000 | 0.08696
   46 |   0.04545 | 1.00000 | 0.08696
   47 |   0.04545 | 1.00000 | 0.08696
   48 |   0.04545 | 1.00000 | 0.08696
   49 |   0.04545 | 1.00000 | 0.08696
   50 |   0.04545 | 1.00000 | 0.08696
   51 |   0.04762 | 1.00000 | 0.09091
   52 |   0.04762 | 1.00000 | 0.09091
   53 |   0.04762 | 1.00000 | 0.09091
   54 |   0.05000 | 1.00000 | 0.09524
   55 |   0.05000 | 1.00000 | 0.09524
   56 |   0.05000 | 1.00000 | 0.09524
   57 |   0.05000 | 1.00000 | 0.09524
   58 |   0.05000 | 1.00000 | 0.09524
   59 |   0.05000 | 1.00000 | 0.09524
   60 |   0.05000 | 1.00000 | 0.09524
   61 |   0.05263 | 1.00000 | 0.10000
   62 |   0.05263 | 1.00000 | 0.10000
   63 |   0.05556 | 1.00000 | 0.10526
   64 |   0.05882 | 1.00000 | 0.11111
   65 |   0.05882 | 1.00000 | 0.11111
   66 |   0.06667 | 1.00000 | 0.12500
   67 |   0.06667 | 1.00000 | 0.12500
   68 |   0.00000 | 0.00000 | 0.00000
   69 |   0.00000 | 0.00000 | 0.00000
   70 |   0.00000 | 0.00000 | 0.00000
   71 |   0.00000 | 0.00000 | 0.00000
   72 |   0.00000 | 0.00000 | 0.00000
   73 |   0.00000 | 0.00000 | 0.00000
   74 |   0.00000 | 0.00000 | 0.00000
   75 |   0.00000 | 0.00000 | 0.00000
   76 |   0.00000 | 0.00000 | 0.00000
   77 |   0.00000 | 0.00000 | 0.00000
   78 |   0.00000 | 0.00000 | 0.00000
   79 |   0.00000 | 0.00000 | 0.00000
   80 |   0.00000 | 0.00000 | 0.00000
   81 |   0.00000 | 0.00000 | 0.00000
   82 |   0.00000 | 0.00000 | 0.00000
   83 |   0.00000 | 0.00000 | 0.00000
   84 |   0.00000 | 0.00000 | 0.00000
   85 |   0.00000 | 0.00000 | 0.00000
   86 |   0.00000 | 0.00000 | 0.00000
   87 |   0.00000 | 0.00000 | 0.00000
   88 |   0.00000 | 0.00000 | 0.00000
   89 |   0.00000 | 0.00000 | 0.00000
   90 |   0.00000 | 0.00000 | 0.00000
   91 |   0.00000 | 0.00000 | 0.00000
   92 |   0.00000 | 0.00000 | 0.00000
   93 |   0.00000 | 0.00000 | 0.00000
   94 |   0.00000 | 0.00000 | 0.00000
   95 |   0.00000 | 0.00000 | 0.00000
   96 |   0.00000 | 0.00000 | 0.00000
   97 |   0.00000 | 0.00000 | 0.00000
   98 |   0.00000 | 0.00000 | 0.00000
   99 |   0.00000 | 0.00000 | 0.00000
  100 |   0.00000 | 0.00000 | 0.00000
  101 |   0.00000 | 0.00000 | 0.00000
  102 |   0.00000 | 0.00000 | 0.00000
  103 |   0.00000 | 0.00000 | 0.00000
  104 |   0.00000 | 0.00000 | 0.00000
  105 |   0.00000 | 0.00000 | 0.00000
  106 |   0.00000 | 0.00000 | 0.00000
  107 |   0.00000 | 0.00000 | 0.00000
  108 |   0.00000 | 0.00000 | 0.00000
  109 |   0.00000 | 0.00000 | 0.00000
  110 |   0.00000 | 0.00000 | 0.00000
  111 |   0.00000 | 0.00000 | 0.00000
  112 |   0.00000 | 0.00000 | 0.00000
  113 |   0.00000 | 0.00000 | 0.00000
  114 |   0.00000 | 0.00000 | 0.00000
  115 |   0.00000 | 0.00000 | 0.00000
  116 |   0.00000 | 0.00000 | 0.00000
  117 |   0.00000 | 0.00000 | 0.00000
  118 |   0.00000 | 0.00000 | 0.00000
  119 |   0.00000 | 0.00000 | 0.00000
  120 |   0.00000 | 0.00000 | 0.00000
  121 |   0.00000 | 0.00000 | 0.00000
  122 |   0.00000 | 0.00000 | 0.00000
  123 |   0.00000 | 0.00000 | 0.00000
  124 |   0.00000 | 0.00000 | 0.00000
  125 |   0.00000 | 0.00000 | 0.00000
  126 |   0.00000 | 0.00000 | 0.00000
  127 |   0.00000 | 0.00000 | 0.00000
  128 |   0.00000 | 0.00000 | 0.00000
  129 |   0.00000 | 0.00000 | 0.00000
  130 |   0.00000 | 0.00000 | 0.00000
  131 |   0.00000 | 0.00000 | 0.00000
  132 |   0.00000 | 0.00000 | 0.00000
  133 |   0.00000 | 0.00000 | 0.00000
  134 |   0.00000 | 0.00000 | 0.00000
  135 |   0.00000 | 0.00000 | 0.00000
  136 |   0.00000 | 0.00000 | 0.00000
  137 |   0.00000 | 0.00000 | 0.00000
  138 |   0.00000 | 0.00000 | 0.00000
  139 |   0.00000 | 0.00000 | 0.00000
  140 |   0.00000 | 0.00000 | 0.00000
  141 |   0.00000 | 0.00000 | 0.00000
  142 |   0.00000 | 0.00000 | 0.00000
  143 |   0.00000 | 0.00000 | 0.00000
  144 |   0.00000 | 0.00000 | 0.00000
  145 |   0.00000 | 0.00000 | 0.00000
  146 |   0.00000 | 0.00000 | 0.00000
  147 |   0.00000 | 0.00000 | 0.00000
  148 |   0.00000 | 0.00000 | 0.00000
  149 |   0.00000 | 0.00000 | 0.00000
  150 |   0.00000 | 0.00000 | 0.00000
  151 |   0.00000 | 0.00000 | 0.00000
  152 |   0.00000 | 0.00000 | 0.00000
  153 |   0.00000 | 0.00000 | 0.00000
  154 |   0.00000 | 0.00000 | 0.00000
  155 |   0.00000 | 0.00000 | 0.00000
  156 |   0.00000 | 0.00000 | 0.00000
  157 |   0.00000 | 0.00000 | 0.00000
  158 |   0.00000 | 0.00000 | 0.00000
  159 |   0.00000 | 0.00000 | 0.00000
  160 |   0.00000 | 0.00000 | 0.00000
  161 |   0.00000 | 0.00000 | 0.00000
  162 |   0.00000 | 0.00000 | 0.00000
  163 |   0.00000 | 0.00000 | 0.00000
  164 |   0.00000 | 0.00000 | 0.00000
  165 |   0.00000 | 0.00000 | 0.00000
  166 |   0.00000 | 0.00000 | 0.00000
  167 |   0.00000 | 0.00000 | 0.00000
  168 |   0.00000 | 0.00000 | 0.00000
  169 |   0.00000 | 0.00000 | 0.00000
  170 |   0.00000 | 0.00000 | 0.00000
  171 |   0.00000 | 0.00000 | 0.00000
  172 |   0.00000 | 0.00000 | 0.00000
  173 |   0.00000 | 0.00000 | 0.00000
  174 |   0.00000 | 0.00000 | 0.00000
  175 |   0.00000 | 0.00000 | 0.00000
  176 |   0.00000 | 0.00000 | 0.00000
  177 |   0.00000 | 0.00000 | 0.00000
  178 |   0.00000 | 0.00000 | 0.00000
  179 |   0.00000 | 0.00000 | 0.00000
  180 |   0.00000 | 0.00000 | 0.00000
  181 |   0.00000 | 0.00000 | 0.00000
  182 |   0.00000 | 0.00000 | 0.00000
  183 |   0.00000 | 0.00000 | 0.00000
  184 |   0.00000 | 0.00000 | 0.00000
  185 |   0.00000 | 0.00000 | 0.00000
  186 |   0.00000 | 0.00000 | 0.00000
  187 |   0.00000 | 0.00000 | 0.00000
  188 |   0.00000 | 0.00000 | 0.00000
