=== Emotet ===
 Diff | Precision |  Recall |      F1
------------------------------------
    0 |   0.00125 | 1.00000 | 0.00249
    1 |   0.00130 | 1.00000 | 0.00259
    2 |   0.00130 | 1.00000 | 0.00259
    3 |   0.00130 | 1.00000 | 0.00259
    4 |   0.00130 | 1.00000 | 0.00259
    5 |   0.00130 | 1.00000 | 0.00260
    6 |   0.00132 | 1.00000 | 0.00264
    7 |   0.00133 | 1.00000 | 0.00265
    8 |   0.00134 | 1.00000 | 0.00267
    9 |   0.00135 | 1.00000 | 0.00269
   10 |   0.00136 | 1.00000 | 0.00271
   11 |   0.00137 | 1.00000 | 0.00274
   12 |   0.00138 | 1.00000 | 0.00276
   13 |   0.00140 | 1.00000 | 0.00279
   14 |   0.00140 | 1.00000 | 0.00281
   15 |   0.00142 | 1.00000 | 0.00283
   16 |   0.00144 | 1.00000 | 0.00288
   17 |   0.00146 | 1.00000 | 0.00292
   18 |   0.00148 | 1.00000 | 0.00296
   19 |   0.00150 | 1.00000 | 0.00300
   20 |   0.00152 | 1.00000 | 0.00304
   21 |   0.00155 | 1.00000 | 0.00309
   22 |   0.00156 | 1.00000 | 0.00313
   23 |   0.00159 | 1.00000 | 0.00318
   24 |   0.00163 | 1.00000 | 0.00326
   25 |   0.00168 | 1.00000 | 0.00335
   26 |   0.00174 | 1.00000 | 0.00347
   27 |   0.00184 | 1.00000 | 0.00367
   28 |   0.00193 | 1.00000 | 0.00385
   29 |   0.00202 | 1.00000 | 0.00404
   30 |   0.00217 | 1.00000 | 0.00434
   31 |   0.00230 | 1.00000 | 0.00460
   32 |   0.00242 | 1.00000 | 0.00482
   33 |   0.00257 | 1.00000 | 0.00513
   34 |   0.00267 | 1.00000 | 0.00533
   35 |   0.00274 | 1.00000 | 0.00546
   36 |   0.00283 | 1.00000 | 0.00565
   37 |   0.00292 | 1.00000 | 0.00581
   38 |   0.00297 | 1.00000 | 0.00592
   39 |   0.00300 | 1.00000 | 0.00599
   40 |   0.00307 | 1.00000 | 0.00612
   41 |   0.00316 | 1.00000 | 0.00631
   42 |   0.00319 | 1.00000 | 0.00637
   43 |   0.00323 | 1.00000 | 0.00643
   44 |   0.00332 | 1.00000 | 0.00662
   45 |   0.00342 | 1.00000 | 0.00683
   46 |   0.00350 | 1.00000 | 0.00697
   47 |   0.00353 | 1.00000 | 0.00704
   48 |   0.00357 | 1.00000 | 0.00712
   49 |   0.00370 | 1.00000 | 0.00738
   50 |   0.00376 | 1.00000 | 0.00749
   51 |   0.00382 | 1.00000 | 0.00760
   52 |   0.00392 | 1.00000 | 0.00781
   53 |   0.00405 | 1.00000 | 0.00806
   54 |   0.00418 | 1.00000 | 0.00833
   55 |   0.00437 | 1.00000 | 0.00870
   56 |   0.00457 | 1.00000 | 0.00909
   57 |   0.00467 | 1.00000 | 0.00930
   58 |   0.00488 | 1.00000 | 0.00971
   59 |   0.00513 | 1.00000 | 0.01020
   60 |   0.00526 | 1.00000 | 0.01047
   61 |   0.00541 | 1.00000 | 0.01075
   62 |   0.00556 | 1.00000 | 0.01105
   63 |   0.00581 | 1.00000 | 0.01156
   64 |   0.00613 | 1.00000 | 0.01220
   65 |   0.00641 | 1.00000 | 0.01274
   66 |   0.00690 | 1.00000 | 0.01370
   67 |   0.00704 | 1.00000 | 0.01399
   68 |   0.00000 | 0.00000 | 0.00000
   69 |   0.00000 | 0.00000 | 0.00000
   70 |   0.00000 | 0.00000 | 0.00000
   71 |   0.00000 | 0.00000 | 0.00000
   72 |   0.00000 | 0.00000 | 0.00000
   73 |   0.00000 | 0.00000 | 0.00000
   74 |   0.00000 | 0.00000 | 0.00000
   75 |   0.00000 | 0.00000 | 0.00000
   76 |   0.00000 | 0.00000 | 0.00000
   77 |   0.00000 | 0.00000 | 0.00000
   78 |   0.00000 | 0.00000 | 0.00000
   79 |   0.00000 | 0.00000 | 0.00000
   80 |   0.00000 | 0.00000 | 0.00000
   81 |   0.00000 | 0.00000 | 0.00000
   82 |   0.00000 | 0.00000 | 0.00000
   83 |   0.00000 | 0.00000 | 0.00000
   84 |   0.00000 | 0.00000 | 0.00000
   85 |   0.00000 | 0.00000 | 0.00000
   86 |   0.00000 | 0.00000 | 0.00000
   87 |   0.00000 | 0.00000 | 0.00000
   88 |   0.00000 | 0.00000 | 0.00000
   89 |   0.00000 | 0.00000 | 0.00000
   90 |   0.00000 | 0.00000 | 0.00000
   91 |   0.00000 | 0.00000 | 0.00000
   92 |   0.00000 | 0.00000 | 0.00000
   93 |   0.00000 | 0.00000 | 0.00000
   94 |   0.00000 | 0.00000 | 0.00000
   95 |   0.00000 | 0.00000 | 0.00000
   96 |   0.00000 | 0.00000 | 0.00000
   97 |   0.00000 | 0.00000 | 0.00000
   98 |   0.00000 | 0.00000 | 0.00000
   99 |   0.00000 | 0.00000 | 0.00000
  100 |   0.00000 | 0.00000 | 0.00000
  101 |   0.00000 | 0.00000 | 0.00000
  102 |   0.00000 | 0.00000 | 0.00000
  103 |   0.00000 | 0.00000 | 0.00000
  104 |   0.00000 | 0.00000 | 0.00000
  105 |   0.00000 | 0.00000 | 0.00000
  106 |   0.00000 | 0.00000 | 0.00000
  107 |   0.00000 | 0.00000 | 0.00000
  108 |   0.00000 | 0.00000 | 0.00000
  109 |   0.00000 | 0.00000 | 0.00000
  110 |   0.00000 | 0.00000 | 0.00000
  111 |   0.00000 | 0.00000 | 0.00000
  112 |   0.00000 | 0.00000 | 0.00000
  113 |   0.00000 | 0.00000 | 0.00000
  114 |   0.00000 | 0.00000 | 0.00000
  115 |   0.00000 | 0.00000 | 0.00000
  116 |   0.00000 | 0.00000 | 0.00000
  117 |   0.00000 | 0.00000 | 0.00000
  118 |   0.00000 | 0.00000 | 0.00000
  119 |   0.00000 | 0.00000 | 0.00000
  120 |   0.00000 | 0.00000 | 0.00000
  121 |   0.00000 | 0.00000 | 0.00000
  122 |   0.00000 | 0.00000 | 0.00000
  123 |   0.00000 | 0.00000 | 0.00000
  124 |   0.00000 | 0.00000 | 0.00000
  125 |   0.00000 | 0.00000 | 0.00000
  126 |   0.00000 | 0.00000 | 0.00000
  127 |   0.00000 | 0.00000 | 0.00000
  128 |   0.00000 | 0.00000 | 0.00000
  129 |   0.00000 | 0.00000 | 0.00000
  130 |   0.00000 | 0.00000 | 0.00000
  131 |   0.00000 | 0.00000 | 0.00000
  132 |   0.00000 | 0.00000 | 0.00000
  133 |   0.00000 | 0.00000 | 0.00000
  134 |   0.00000 | 0.00000 | 0.00000
  135 |   0.00000 | 0.00000 | 0.00000
  136 |   0.00000 | 0.00000 | 0.00000
  137 |   0.00000 | 0.00000 | 0.00000
  138 |   0.00000 | 0.00000 | 0.00000
  139 |   0.00000 | 0.00000 | 0.00000
  140 |   0.00000 | 0.00000 | 0.00000
  141 |   0.00000 | 0.00000 | 0.00000
  142 |   0.00000 | 0.00000 | 0.00000
  143 |   0.00000 | 0.00000 | 0.00000
  144 |   0.00000 | 0.00000 | 0.00000
  145 |   0.00000 | 0.00000 | 0.00000
  146 |   0.00000 | 0.00000 | 0.00000
  147 |   0.00000 | 0.00000 | 0.00000
  148 |   0.00000 | 0.00000 | 0.00000
  149 |   0.00000 | 0.00000 | 0.00000
  150 |   0.00000 | 0.00000 | 0.00000
  151 |   0.00000 | 0.00000 | 0.00000
  152 |   0.00000 | 0.00000 | 0.00000
  153 |   0.00000 | 0.00000 | 0.00000
  154 |   0.00000 | 0.00000 | 0.00000
  155 |   0.00000 | 0.00000 | 0.00000
  156 |   0.00000 | 0.00000 | 0.00000
  157 |   0.00000 | 0.00000 | 0.00000
  158 |   0.00000 | 0.00000 | 0.00000
  159 |   0.00000 | 0.00000 | 0.00000
  160 |   0.00000 | 0.00000 | 0.00000
  161 |   0.00000 | 0.00000 | 0.00000
  162 |   0.00000 | 0.00000 | 0.00000
  163 |   0.00000 | 0.00000 | 0.00000
  164 |   0.00000 | 0.00000 | 0.00000
  165 |   0.00000 | 0.00000 | 0.00000
  166 |   0.00000 | 0.00000 | 0.00000
  167 |   0.00000 | 0.00000 | 0.00000
  168 |   0.00000 | 0.00000 | 0.00000
  169 |   0.00000 | 0.00000 | 0.00000
  170 |   0.00000 | 0.00000 | 0.00000
  171 |   0.00000 | 0.00000 | 0.00000
  172 |   0.00000 | 0.00000 | 0.00000
  173 |   0.00000 | 0.00000 | 0.00000
  174 |   0.00000 | 0.00000 | 0.00000
  175 |   0.00000 | 0.00000 | 0.00000
  176 |   0.00000 | 0.00000 | 0.00000
  177 |   0.00000 | 0.00000 | 0.00000
  178 |   0.00000 | 0.00000 | 0.00000
  179 |   0.00000 | 0.00000 | 0.00000
  180 |   0.00000 | 0.00000 | 0.00000
  181 |   0.00000 | 0.00000 | 0.00000
  182 |   0.00000 | 0.00000 | 0.00000
  183 |   0.00000 | 0.00000 | 0.00000
  184 |   0.00000 | 0.00000 | 0.00000
  185 |   0.00000 | 0.00000 | 0.00000
  186 |   0.00000 | 0.00000 | 0.00000
  187 |   0.00000 | 0.00000 | 0.00000
  188 |   0.00000 | 0.00000 | 0.00000
  189 |   0.00000 | 0.00000 | 0.00000
  190 |   0.00000 | 0.00000 | 0.00000
  191 |   0.00000 | 0.00000 | 0.00000
  192 |   0.00000 | 0.00000 | 0.00000
  193 |   0.00000 | 0.00000 | 0.00000
  194 |   0.00000 | 0.00000 | 0.00000
  195 |   0.00000 | 0.00000 | 0.00000
  196 |   0.00000 | 0.00000 | 0.00000
  197 |   0.00000 | 0.00000 | 0.00000
  198 |   0.00000 | 0.00000 | 0.00000
  199 |   0.00000 | 0.00000 | 0.00000
