=== Global Evaluation (Threshold 0~200) ===
 Diff | Precision |    Recall |        F1 |   Removed
-------------------------------------------------------
    0 |   0.00892 |   0.78261 |   0.01763 |         0
    1 |   0.00927 |   0.78261 |   0.01833 |       326
    2 |   0.00927 |   0.78261 |   0.01833 |       327
    3 |   0.00929 |   0.78261 |   0.01837 |       336
    4 |   0.00930 |   0.78261 |   0.01838 |       342
    5 |   0.00934 |   0.78261 |   0.01845 |       362
    6 |   0.00939 |   0.78261 |   0.01856 |       381
    7 |   0.00941 |   0.78261 |   0.01860 |       395
    8 |   0.00944 |   0.78261 |   0.01866 |       420
    9 |   0.00949 |   0.78261 |   0.01875 |       441
   10 |   0.00953 |   0.78261 |   0.01883 |       460
   11 |   0.00961 |   0.78261 |   0.01898 |       488
   12 |   0.00964 |   0.78261 |   0.01905 |       516
   13 |   0.00972 |   0.78261 |   0.01921 |       551
   14 |   0.00977 |   0.78261 |   0.01930 |       581
   15 |   0.00983 |   0.78261 |   0.01942 |       608
   16 |   0.00994 |   0.78261 |   0.01964 |       649
   17 |   0.01006 |   0.78261 |   0.01987 |       690
   18 |   0.01016 |   0.78261 |   0.02007 |       722
   19 |   0.01027 |   0.78261 |   0.02028 |       767
   20 |   0.01039 |   0.78261 |   0.02051 |       808
   21 |   0.01051 |   0.78261 |   0.02074 |       844
   22 |   0.01060 |   0.78261 |   0.02092 |       878
   23 |   0.01076 |   0.78261 |   0.02123 |       921
   24 |   0.01098 |   0.78261 |   0.02165 |       970
   25 |   0.01125 |   0.78261 |   0.02218 |      1027
   26 |   0.01161 |   0.78261 |   0.02289 |      1097
   27 |   0.01203 |   0.78261 |   0.02370 |      1168
   28 |   0.01255 |   0.78261 |   0.02471 |      1243
   29 |   0.01318 |   0.78261 |   0.02592 |      1323
   30 |   0.01385 |   0.78261 |   0.02721 |      1404
   31 |   0.01391 |   0.73913 |   0.02731 |      1501
   32 |   0.01372 |   0.69565 |   0.02691 |      1574
   33 |   0.01468 |   0.69565 |   0.02875 |      1662
   34 |   0.01559 |   0.69565 |   0.03051 |      1734
   35 |   0.01523 |   0.65217 |   0.02976 |      1792
   36 |   0.01592 |   0.65217 |   0.03109 |      1850
   37 |   0.01665 |   0.65217 |   0.03247 |      1904
